rel_path	width	height	us_bytes	status	eu_offsets	notes
billboard/bonus_stages/gotodiglettbonus_off.png	48	32	384	shared	05fa80	
billboard/bonus_stages/gotodiglettbonus_on.png	48	32	384	shared	05f900	
billboard/bonus_stages/gotogengarbonus_off.png	48	32	384	shared	05f180	
billboard/bonus_stages/gotogengarbonus_on.png	48	32	384	shared	05f000	
billboard/bonus_stages/gotomeowthbonus_off.png	48	32	384	shared	05f780	
billboard/bonus_stages/gotomeowthbonus_on.png	48	32	384	shared	05f600	
billboard/bonus_stages/gotomewtwobonus_off.png	48	32	384	shared	05f480	
billboard/bonus_stages/gotomewtwobonus_on.png	48	32	384	shared	05f300	
billboard/bonus_stages/gotoseelbonus_off.png	48	32	384	shared	05fd80	
billboard/bonus_stages/gotoseelbonus_on.png	48	32	384	shared	05fc00	
billboard/gotonext_off.png	48	32	384	shared	05ee80	
billboard/gotonext_on.png	48	32	384	shared	05ed00	
billboard/hurryup2_off.png	48	32	384	shared	05ab80,05eb80,062b80,066b80	
billboard/hurryup2_on.png	48	32	384	shared	05ea00	
billboard/hurryup_off.png	48	32	384	shared	05a880,05e880,062880,066880	
billboard/hurryup_on.png	48	32	384	shared	05e700	
billboard/maps/azaleatown.png	32	48	384	missing	-	
billboard/maps/blackthorncity.png	32	48	384	missing	-	
billboard/maps/burnedtower.png	32	48	384	missing	-	
billboard/maps/celadoncity.png	32	48	384	shared	0c6f00	
billboard/maps/ceruleancity.png	32	48	384	shared	0c6780	
billboard/maps/cinnabarisland.png	32	48	384	shared	0c7800	
billboard/maps/cyclingroad.png	32	48	384	shared	0c7080	
billboard/maps/darkcave.png	32	48	384	missing	-	
billboard/maps/ecruteakcity.png	32	48	384	missing	-	
billboard/maps/fuchsiacity.png	32	48	384	shared	0c7200	
billboard/maps/goldenrodcity.png	32	48	384	missing	-	
billboard/maps/icepath.png	32	48	384	missing	-	
billboard/maps/ilexforest.png	32	48	384	missing	-	
billboard/maps/indigoplateau.png	32	48	384	shared	0c7980	
billboard/maps/lakeofrage.png	32	48	384	missing	-	
billboard/maps/lavendertown.png	32	48	384	shared	0c6d80	
billboard/maps/mahoganytown.png	32	48	384	missing	-	
billboard/maps/mtmoon.png	32	48	384	shared	0c6600	
billboard/maps/mtmortar.png	32	48	384	missing	-	
billboard/maps/mtsilver.png	32	48	384	missing	-	
billboard/maps/nationalpark.png	32	48	384	missing	-	
billboard/maps/newbarktown.png	32	48	384	missing	-	
billboard/maps/olivinecity.png	32	48	384	missing	-	
billboard/maps/pallettown.png	32	48	384	shared	0ac100,0ae100,0b6100,0b8100	
billboard/maps/pewtercity.png	32	48	384	shared	0c6480	
billboard/maps/rockmountain.png	32	48	384	shared	0c6c00	
billboard/maps/ruinsofalph.png	32	48	384	missing	-	
billboard/maps/safarizone.png	32	48	384	shared	0c7380	
billboard/maps/saffroncity.png	32	48	384	shared	0ba100,0bc100,0be100,0c2100	
billboard/maps/seafoamislands.png	32	48	384	shared	0c7680	
billboard/maps/tintower.png	32	48	384	missing	-	
billboard/maps/vermilioncityseaside.png	32	48	384	shared	0c6900	
billboard/maps/vermilioncitystreets.png	32	48	384	shared	0c6a80	
billboard/maps/violetcity.png	32	48	384	missing	-	
billboard/maps/viridiancity.png	32	48	384	shared	0c6180	
billboard/maps/viridianforest.png	32	48	384	shared	0c6300	
billboard/maps/whirlislands.png	32	48	384	missing	-	
billboard/mon_animated/abra.w32.interleave.png	32	96	768	shared	075e00	
billboard/mon_animated/aerodactyl.w32.interleave.png	32	96	768	shared	071500	
billboard/mon_animated/aipom.w32.interleave.png	32	96	768	missing	-	
billboard/mon_animated/articuno.w32.interleave.png	32	96	768	shared	071b00	
billboard/mon_animated/bellsprout.w32.interleave.png	32	96	768	shared	076400	
billboard/mon_animated/bulbasaur.w32.interleave.png	32	96	768	shared	08c000	
billboard/mon_animated/caterpie.w32.interleave.png	32	96	768	shared	08c900	
billboard/mon_animated/celebi.w32.interleave.png	32	96	768	missing	-	
billboard/mon_animated/chansey.w32.interleave.png	32	96	768	shared	084900	
billboard/mon_animated/charmander.w32.interleave.png	32	96	768	shared	08c300	
billboard/mon_animated/chikorita.w32.interleave.png	32	96	768	missing	-	
billboard/mon_animated/chinchou.w32.interleave.png	32	96	768	missing	-	
billboard/mon_animated/clefairy.w32.interleave.png	32	96	768	shared	08e700	
billboard/mon_animated/corsola.w32.interleave.png	32	96	768	missing	-	
billboard/mon_animated/cubone.w32.interleave.png	32	96	768	shared	07a700	
billboard/mon_animated/cyndaquil.w32.interleave.png	32	96	768	missing	-	
billboard/mon_animated/delibird.w32.interleave.png	32	96	768	missing	-	
billboard/mon_animated/diglett.w32.interleave.png	32	96	768	shared	074c00	
billboard/mon_animated/ditto.w32.interleave.png	32	96	768	shared	070600	
billboard/mon_animated/doduo.w32.interleave.png	32	96	768	shared	078900	
billboard/mon_animated/dratini.w32.interleave.png	32	96	768	shared	072400	
billboard/mon_animated/drowzee.w32.interleave.png	32	96	768	shared	079b00	
billboard/mon_animated/dunsparce.w32.interleave.png	32	96	768	missing	-	
billboard/mon_animated/eevee.w32.interleave.png	32	96	768	shared	070900	
billboard/mon_animated/ekans.w32.interleave.png	32	96	768	shared	08d800	
billboard/mon_animated/electabuzz.w32.interleave.png	32	96	768	shared	086400	
billboard/mon_animated/entei.w32.interleave.png	32	96	768	missing	-	
billboard/mon_animated/exeggcute.w32.interleave.png	32	96	768	shared	07a400	
billboard/mon_animated/farfetch_d.w32.interleave.png	32	96	768	shared	078600	
billboard/mon_animated/gastly.w32.interleave.png	32	96	768	shared	079500	
